rs737656	-368.658280479	1.3767507096	-337.773699737
rs737657	-368.65817671	1.38721614328	-337.773812994
rs7086391	-368.657714216	1.61978875829	-337.774317776
rs878177	-368.657541039	5.08618614762	-337.774506787
rs878178	-368.65742971	1.5376020021	-337.774628295
rs3763689	-368.656312299	1.61978875829	-337.775847867
rs1983867	-368.65590478	3.72124639905	-337.776292642
rs1983866	-368.655824375	4.82390874094	-337.776380397
rs1983865	-368.655806508	3.58502665203	-337.776399898
rs1983864	-368.655040947	4.92081875395	-337.777235444
rs735116	-368.652237082	1.38721614328	-337.780295599
rs11189527	-368.650639967	1.31875876262	-337.782038676
rs10736126	-368.649219462	3.46852108296	-337.783588989
rs7090035	-368.648623632	3.55284196866	-337.784239263
rs2862297	-368.610846877	1.32790214206	-337.825463168
rs17109337	-368.610550643	2.01322826573	-337.825786397
rs7076493	-368.610415242	3.20065945055	-337.825934137
rs4917815	-368.610022783	2.35654732351	-337.826362358
rs11189553	-368.609224805	2.85387196432	-337.827233048
rs4919210	-368.606375848	2.65757731918	-337.830341568
rs7904756	-368.605368226	2.76955107862	-337.831440981
rs4919213	-368.60248143	2.72124639905	-337.834590715
rs17109450	-368.598547784	2.60205999133	-337.838882563
rs11253538	-428.781070597	2.0268721464	-257.19018935
rs11253539	-428.780975887	2.05551732785	-257.190347248
rs11189586	-368.561123069	1.40893539297	-337.879710196
rs10786418	-368.558873799	1.30980391997	-337.882163696
rs3830019	-368.54548233	1.39794000867	-337.896770411
rs12242431	-368.537075931	1.52287874528	-337.905939078
rs1061134	-368.536954934	1.7447274949	-337.906071043
rs11539873	-368.532913895	1.38721614328	-337.910478346
rs11253540	-428.780656173	2.03151705145	-257.190880266
rs10795303	-428.780439542	1.76955107862	-257.191241426
rs563823	-368.469330374	3.79588001734	-337.979810897
rs560228	-368.469089015	2.79588001734	-337.980074028
rs557326	-368.468850407	2.79588001734	-337.980334161
rs534666	-368.468749325	3.79588001734	-337.980444361
rs682247	-368.46650351	3.03151705145	-337.982892749
rs665142	-368.465496808	2.7447274949	-337.983990245
rs567137	-368.464091958	3.03151705145	-337.985521787
rs542431	-368.463817588	3.04575749056	-337.985820899
rs10748737	-368.461092446	3.03621217265	-337.988791757
rs584705	-368.454864345	2.82390874094	-337.995581244
rs584744	-368.454848529	3.04095860768	-337.995598485
rs508451	-368.453648555	3.26760624018	-337.996906594
rs490590	-368.451311858	3.01772876696	-337.999453831
rs666243	-368.450618685	3.04095860768	-338.000209454
rs10509724	-368.450113933	2.88605664769	-338.000759678
rs539559	-368.449884937	2.85387196432	-338.001009303
rs513809	-368.449528034	3.04095860768	-338.001398357
rs536901	-368.448492394	1.69897000434	-338.002527287
rs541519	-368.448130676	2.76955107862	-338.002921587
rs17538604	-368.447110848	3.06550154876	-338.004033271
rs660426	-368.44696506	2.76955107862	-338.00419219
rs2447305	-368.446245745	1.72124639905	-338.004976289
rs2485027	-368.446227178	1.43179827593	-338.004996529
rs471563	-368.445703851	3.10237290871	-338.005566986
rs472459	-368.445637834	3.07058107429	-338.005638949
rs477950	-368.445227286	3.10237290871	-338.006086469
rs501282	-368.445060179	2.85387196432	-338.006268625
rs598076	-368.444725964	2.88605664769	-338.006632937
rs505981	-368.444686766	2.88605664769	-338.006675665
rs610884	-368.444344986	2.85387196432	-338.007048222
rs611806	-368.444200572	2.85387196432	-338.007205641
rs535182	-368.444075413	3.01322826573	-338.00734207
rs535927	-368.444045842	2.85387196432	-338.007374303
rs536955	-368.443956443	2.85387196432	-338.007471753
rs537790	-368.44391862	3.06550154876	-338.007512981
rs537851	-368.443904866	3.0268721464	-338.007527974
rs538873	-368.44379965	2.85387196432	-338.007642664
rs538876	-368.443796212	3.36653154442	-338.007646412
rs614927	-368.443715752	3.06048074738	-338.007734117
rs552644	-368.443173166	2.92081875395	-338.008325559
rs629789	-368.443008121	2.85387196432	-338.008505465
rs544176	-368.442521236	2.82390874094	-338.009036188
rs522425	-368.44250542	3.08618614762	-338.009053429
